id,name,cuisine,location,openingHours,website,description
1,Pickle & Rye,American,"31 Sheen Ln, East Sheen, London SW14 8AB",5-9pm,https://www.pickleandrye.com/,"Founders Alex and Val met each other by chance, in an unfamiliar environment (two Americans living and traveling in the UK) through a discussion about food, soon realising they shared a deeper connection. As their relationship progressed, so did their belief that good food was as closely connected to family and the comforts of home as it was to travel and adventure. In attempt to marry both, and shortly before marrying each other, Pickle & Rye, a small home-style American café set in East Sheen, London was born. In 2010 in its early days, before there was such a widespread American influence in London, Pickle & Rye was a simple sandwich shop, showcasing the humble sarnie and showing local residents it could be so much more than a piece of rubbery ham slapped in between two slices of lackluster industrial-made bread. The menu focused on homemade ingredients from the pickles to the sauces, to the salt beef, just like Val and Alex’s childhood dictated it should be. As local families started to pile into Pickle & Rye’s cozy, comforting arms in search of truly satisfying sandwiches, Val and Alex knew it was time to expand. Now open for brunch, lunch and dinner Pickle & Rye offers Londoners a true American experience, no gimmicks or formal attire required. Our food fosters a sense of family; made from wholesome, real ingredients, and packed full of flavour. From blueberry pancakes and eggs Benedict to juicy burgers, mouthwatering sandwiches, seasonal pies and baked goods and glorious milkshakes, our food is made fresh to order and served in a relaxed and welcoming environment. At Pickle & Rye we believe good food doesn’t require fancy cutlery or exotic ingredients to be enjoyed, and everyone is always welcome at our table."
2,Joe & Co. Burgers,American,"397 North End Rd, Fulham, London SW6 1NR",9am-11:45pm,https://joeandcoburgers.co.uk/,"Looking for a top restaurant in Fulham? For dining out in London in casual surroundings that serve scrumptious fare without an ounce of pretension, there is no better setting than here at Joe & Co. Burgers. The relaxed atmosphere is created in no small part by the friendly, dynamic and energetic service staff on show, who work with the enthusiastic team of chefs in the creation of a truly satisfying dining experience for all involved. As can be expected by when reading the name, the star of the show at Joe & Co. Burgers is that of the gourmet burger. Few London restaurants can claim to be better for lovers of the delicacy, we serve everything from a flavoursome Halloumi number to a chipotle-topped beef delight in the Diablo. All of our burgers are made using the highest quality 28 Days Aged Yorkshire beef sourced from UK farmers and can be found on the menu alongside the odd hot dog option, which is always there for someone in search of something a little different. Whether it’s for a catch-up with an old friend, a small celebration or a casual afternoon out with the significant other, one and all are catered to in style at our gourmet burger restaurant in Fulham. Call us on 020 7381 4178 to make a reservation or enquire about our menu."
3,Dip and Flip,American,"87 Battersea Rise, London SW11 1HW",12-10pm,https://www.dipandflip.co.uk/,"The wheels of the gravy train began spinning in September 2013, first stop Battersea Rise. Since then we have successfully opened further restaurants in South West London. With multiple pop ups, Latitude Music Festival 2018 and National Burger Day 2015 -18 under our belt the future for Dip & Flip looks juicy and exciting. We specialise in roast meat sandwiches dipped in gravy (Dip) and flat griddle smashed burgers (Flip)."
4,Breakfast & Burgers,American,"106 Leadenhall St, London EC3A 4AA",7:30am-2pm,http://breakfastandburgers.com/,"Our burgers are made from 28 day aged grass fed Scottish beef & made fresh daily. Our patties are custom blended, cooked to order & served with lettuce, gherkin, tomato, red onion garnish & our chef’s homemade burger sauce. All our beef patties are 5oz, hand made daily & cooked from fresh…"
5,Burger & Shake,American,"47 Marchmont St, Bloomsbury, London WC1N 1AP",12-10:30pm,https://burgerandshake.co.uk/,"American-style burgers, hot dogs served with sauerkraut and fries, and Bourbon-infused milkshakes."
6,Fishers,British,"19 Fulham High St, Fulham, London SW6 3JH",12-10pm,https://fisherslondon.co.uk/,"We pride ourselves on using the best and freshest ingredients. Our fish is supplied daily so that our customers are provided with food that is fresh, healthy and it is guaranteed to have the best supply of omega-3 fatty acids. For our golden & crispy chips, we source the best potatoes that guarantee crispy chips on the outside but nice & fluffy on the inside. These are fried separately from any meat and fish products in the highest quality vegetable oil-free of hydrogenated fats and no GM resulting in a perfect chip, which is perfectly suitable for our Vegan clients. We go through all the efforts required to source as fresh as possible with sustainable producers so that we can give our customers the best quality meal they deserve."
7,Flank,British,"Market Halls, 191 Victoria St, Victoria, London SW1E 5NE",7am-11pm,https://www.flanklondon.com/,"Bloody tasty food…that’s it! From humble begins as a Brighton pub pop-up, Flank has remained true to its ethos of serving flavour-packed, whole animal cooking. This accessible & sustainable nose-to-tail mantra are at the heart of each menu, across all Flank sites. In late 2017 our first London site opened in ‘The Kitchens”, Old Spitalfields Market E1. Offering quality ‘street food’ within an open market environment, FLANK OSM has received great feedback and national recognition. Flank is going from strength to strength, opening within the new Market Halls- Victoria, in late 2018 and Market Halls- West End, in late 2019. Alongside this we have had a presence in some of England’s best festivals and run successful pop-ups in ‘The Ace Hotel’ in Shoreditch, ‘The Print House’ in Stratford & ‘Kricket’ in Whitechapel. We remain as hungry and ambitious as ever. With a permanent, restaurant site planned for 2020, where you will see us taking FLANK into new and exciting directions."
8,Terry's Cafe London,British,"158 Great Suffolk St, London SE1 1PE",8am-3pm,https://terryscafe.co.uk/,"Terry came from a modest family of cooks. His Dad was a chef in the Army and his Mum a pastry cook, so naturally he grew up around food. Terry was born and raised in South London and all his family were from Borough, where bomb sites were the playground of his childhood. Like most working class London families at the time, Summer holidays were spent working on the hop farms around Kent collecting hops for the local breweries. During the war Terry was evacuated to Folkstone, where he lived with an Army major and his wife. After the bombs stopped falling, Terry was reunited with the major on a trip down memory Lane which resulted in his ownership of 2 pigs. This quickly turned into a small holding with 2000 pigs. At age 17, Terry got a job at Smithfield meat market, where he learnt the trade of butchery. After a long career in the market, he decided it was time for a change of direction in order he could spend time with his young family. In 1982 he opened what is now known as Terry’s café. With his extensive product knowledge, cooking and butchering skills he produced wonderful home-cooked food using produce from the nearby Smithfield and Borough markets. During his life, Terry was an Ambassador for the local community. He passed on his values and experience to his son, Austin, who was named after Austin’s of Peckham, a former antiques shop located on Rye Lane. Austin has worked at Terry’s since becoming a Saturday boy at the age of 14. Now in his thirties, he plans to move forward with his Dad’s winning formula and continue to promote traditional values and British culture in a positive fashion."
9,Mother Mash,British,"26 Ganton St, Soho, London W1F 7QZ",8:30am-12am,https://www.mothermash.co.uk/,"Not much to look at, admittedly. But in our hands it becomes the ULTIMATE FEEL-GOOD FOOD. Perhaps it’s the way we use only locally sourced potatoes and make our mash fresh for every person. Perhaps it’s the delicious choice of organic sausages, gourmet pies and TASTY GRAVIES that accompany it. Or maybe it’s just that FRESHLY-MADE MASH makes everyone feel good. Whatever it is, at Mother Mash you can expect HEART-WARMING, HAPPY, soul food every day of the week."
10,The Table Cafe,British,"83 Southwark St, London SE1 0HX",8am-4pm,https://www.thetablecafe.com/,"As the area around us has continued to develop and evolve over the years, so have we! We are extremely proud of where we have come in the past fifteen years and are looking forward to the next chapter and continuously adapting. Our owner, architect Paul Appleton of Allies and Morrison, is determined to keep the Table’s integrity and commitment to sustainable sourcing. Simple food of the highest quality, served in a warm and friendly environment which ensures our valued guests always leave with a smile on their faces! This is our goal and what we will always strive to achieve."
11,Cafe TPT,Chinese,"21 Wardour St, West End, London W1D 6PN",12pm-1am,http://www.cafetpt.com/,"An extensive menu of classic Chinese street food dishes in a cozy setting with light wood interiors."
12,Fei Er Cottage,Chinese,"37 Strutton Ground, Westminster, London SW1P 2HY",11:30am-10pm,https://www.feier-restaurant.co.uk/,"The whole concept and idea of the Fei Er Cottage goes back to the old Chinese home cottages which could be found in the Chinese countryside as well as in the mountains. ​ People lived on farms and completely sustained themselves with home-produced foods from their own fish and animal farms, crops and spice gardens. ​ With that in mind the Fei Er Cottage is dedicated to creating a quiet, homey yet elegant space where friends and family can sit down, relax and have a chat while enjoying healthy and locally sourced traditional Chinese slow food and escaping from the big city life."
